ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
192   32   2.780151   288   128   1536   10579775   7280
192   32   2.807993   320   128   1536   10390794   6552
192   30   2.634185   32   96   1130   10922243   65535
192   30   2.658379   64   96   1130   10934358   32766
192   30   2.702693   96   96   1130   10812103   21843
192   30   2.582409   128   96   1130   11377521   16383
192   30   2.653011   160   96   1130   11065655   13107
192   30   2.670364   192   96   1130   10786884   10920
192   30   2.647144   224   96   1130   11159608   9360
192   30   2.643789   256   96   1130   11104116   8190
192   30   2.643421   288   96   1130   11211861   7281
192   30   2.645479   320   96   1130   11096592   6552
192   28   2.460812   32   128   1540   11694101   65536
192   28   2.493502   64   128   1540   11578738   32768
192   28   2.518366   96   128   1540   11498825   21844
192   28   2.507921   128   128   1540   11491730   16384
192   28   2.517710   160   128   1540   11599066   13104
192   28   2.500522   192   128   1540   11582637   10920
192   28   2.489153   224   128   1540   11605554   9360
192   28   2.490572   256   128   1540   11601244   8192
192   28   2.481833   288   128   1540   11841533   7280
192   28   2.481082   320   128   1540   11785326   6552
192   27   2.360972   32   96   1230   12187077   65535
192   27   2.384228   64   96   1230   12125788   32766
192   27   2.380681   96   96   1230   12112065   21843
192   27   2.337173   128   96   1230   12363575   16383
192   27   2.401445   160   96   1230   12102850   13107
192   27   2.352194   192   96   1230   12309237   10920
192   27   2.331638   224   96   1230   12395307   9360
192   27   2.293259   256   96   1230   12619118   8190
192   27   2.265867   288   96   1230   12796980   7281
192   27   2.240630   320   96   1230   12999308   6552
192   26   2.258986   32   64   877   12737197   65536
192   26   2.296862   64   64   877   12623008   32768
192   26   2.224905   96   64   877   13080731   21844
192   26   2.265898   128   64   877   12807843   16384
192   26   2.280746   160   64   877   12801282   13106
192   26   2.261198   192   64   877   12940602   10922
192   26   2.239383   224   64   877   12880934   9362
192   26   2.230724   256   64   877   13005410   8192
192   26   2.189613   288   64   877   13173925   7280
192   26   2.204531   320   64   877   13128857   6552
192   25   2.162652   32   160   2050   13307844   65535
192   25   2.108516   64   160   2050   13697770   32765
192   25   2.165311   96   160   2050   13340115   21845
192   25   2.206606   128   160   2050   13084766   16380
192   25   2.137912   160   160   2050   13583621   13105
192   25   2.192286   192   160   2050   13318375   10920
192   25   2.176551   224   160   2050   13381958   9360
192   25   2.097022   256   160   2050   13981808   8190
192   25   2.167528   288   160   2050   13436522   7280
192   25   2.121253   320   160   2050   13688161   6550
192   24   2.023294   32   128   2048   14221562   65536
192   24   2.108290   64   128   2048   13703172   32768
192   24   2.109943   96   128   2048   13794746   21844
192   24   2.104254   128   128   2048   13710252   16384
192   24   2.115993   160   128   2048   13621921   13104
192   24   2.132826   192   128   2048   13626807   10920
192   24   2.088853   224   128   2048   13767745   9360
192   24   2.140499   256   128   2048   13724990   8192
192   24   2.076142   288   128   2048   14059901   7280
192   24   2.131947   320   128   2048   13745309   6552
192   22   1.922193   32   64   1030   14968833   65536
192   22   1.937256   64   64   1030   14901915   32768
192   22   1.908688   96   64   1030   15104816   21844
192   22   1.821713   128   64   1030   15914020   16384
192   22   1.878389   160   64   1030   15375982   13106
192   22   1.810910   192   64   1030   15927068   10922
192   22   1.840621   224   64   1030   15750520   9362
192   22   1.879973   256   64   1030   15377699   8192
192   22   1.863905   288   64   1030   15502861   7280
192   22   1.845834   320   64   1030   15681916   6552
192   21   1.758319   32   224   4096   16398466   65534
192   21   1.767621   64   224   4096   16302932   32767
192   21   1.771907   96   224   4096   16350444   21840
192   21   1.777240   128   224   4096   16296877   16380
192   21   1.794540   160   224   4096   16151443   13104
192   21   1.803287   192   224   4096   16239783   10920
192   21   1.796586   224   224   4096   16140430   9359
192   21   1.778283   256   224   4096   16290120   8190
192   21   1.770554   288   224   4096   16417866   7280
192   21   1.762263   320   224   4096   16748685   6552
192   20   1.713462   32   128   2050   16791860   65536
192   20   1.732820   64   128   2050   16688657   32768
192   20   1.753618   96   128   2050   16508987   21844
192   20   1.748626   128   128   2050   16572092   16384
192   20   1.736955   160   128   2050   16677575   13104
192   20   1.732797   192   128   2050   16647829   10920
192   20   1.677412   224   128   2050   17383661   9360
192   20   1.718248   256   128   2050   16997391   8192
192   20   1.739949   288   128   2050   16568663   7280
192   20   1.719278   320   128   2050   17115198   6552
192   18   1.531775   32   96   2048   18782756   65535
192   18   1.518849   64   96   2048   18971105   32766
192   18   1.505589   96   96   2048   19182121   21843
192   18   1.483328   128   96   2048   19449341   16383
192   18   1.521128   160   96   2048   19010583   13107
192   18   1.455820   192   96   2048   19974260   10920
192   18   1.488673   224   96   2048   19578297   9360
192   18   1.482896   256   96   2048   19657864   8190
192   18   1.483173   288   96   2048   19615440   7281
192   18   1.482361   320   96   2048   19623387   6552
